model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
XGBoost,0.807979797979798,0.08119258270417858,0.8310351966873706,0.09831486992032362,0.7754940711462451,0.06763687826297704,0.8015799187892212,0.0795783377057073,0.8512037369744881,0.07431736548749313,0.8367751005170725,0.11644857565224866
LogisticRegression,0.6743434343434345,0.07187207627036753,0.7375252525252525,0.11241112758956999,0.5679841897233201,0.10670655756816999,0.6313073196826057,0.07639167094224701,0.7663312971613367,0.08067980667084244,0.7738359831710176,0.06321976766649971
SVM_RBF,0.5718181818181818,0.10424883505461273,0.6232064232064232,0.14718718333235478,0.4786561264822134,0.08227612386756826,0.5272901888027939,0.06502406947931967,0.5057761408551922,0.17844988120006264,0.5762673806822571,0.16071185113053746
