mode,fold,accuracy,precision,recall,f1,roc_auc,pr_auc,best_epoch
frozen_backbone,1,0.6222222222222222,0.7142857142857143,0.43478260869565216,0.5405405405405406,0.5928853754940712,0.606608049418104,4
frozen_backbone,2,0.5111111111111111,0.5,0.22727272727272727,0.3125,0.6521739130434783,0.6884504216637914,1
frozen_backbone,3,0.6222222222222222,0.6470588235294118,0.5,0.5641025641025641,0.5988142292490118,0.6080316411817638,6
frozen_backbone,4,0.3333333333333333,0.21428571428571427,0.13636363636363635,0.16666666666666666,0.2727272727272727,0.3946210899896566,1
frozen_backbone,5,0.4772727272727273,0.48148148148148145,0.5909090909090909,0.5306122448979592,0.5206611570247934,0.6007644427358284,2
