epoch,split,lr,loss,balanced_loss,raw_loss,masked_loss,unmasked_loss,jigsaw_loss,coverage_loss,masked_loss_norm,unmasked_loss_norm,jigsaw_loss_norm,coverage_loss_norm,peak_bin_frac,masked_peak_bins_mean,jigsaw_token_accuracy,mask_ratio
1,train,2.9999999999999997e-05,1.531065558106446,1.531065558106446,5.2268940791610845,0.0322077276439152,0.02761998654474035,5.191924359187607,0.0,0.5044669346991649,0.3950738643934904,0.9870912341539525,0.0,0.171875,8.788266185886604,0.024817264446419133,0.3989940465481813
1,val,2.9999999999999997e-05,1.5084650829190114,1.5084650829190114,5.031775927934491,0.0071601814315578,0.001876750321616037,5.024428062751645,0.0,0.5008361373768478,0.23232318802935178,0.9843966267148002,0.0,0.17187500024428132,8.71516393442623,0.044222472143954916,0.3957668191096822
2,train,5.9999999999999995e-05,1.9358417455815087,1.9358417455815087,4.973277994423858,0.008068465346793743,0.003464301277436932,4.964863101312937,0.0,0.8629426143386147,0.7996964804397142,0.9929294896519874,0.0,0.171875,8.822400140368249,0.04375295929056554,0.40078306592200413
2,val,5.9999999999999995e-05,1.6826568451084074,1.6826568451084074,4.891270754767246,0.004943962735658298,0.00048186436064587144,4.8862786293029785,0.0,0.6753100801686771,0.16000206389876662,0.9913465693348744,0.0,0.17187500024428132,8.71516393442623,0.06092809458247951,0.3957668191096822
3,train,8.999999999999999e-05,2.0441169049129013,2.0441169049129013,4.883401334778337,0.006134584736586971,0.0021704952372045617,4.8770497042285506,0.0,0.9566306457046635,0.9042115997184407,0.9970651079307903,0.0,0.171875,8.760933198219488,0.0546932168120195,0.39850509265237605
3,val,8.999999999999999e-05,1.7303238892164388,1.7303238892164388,4.8151342360699765,0.004281939144750111,0.0004012696530868406,4.810812152800013,0.0,0.7186669746383292,0.21372839271045121,0.9902840803881161,0.0,0.17187500024428132,8.71516393442623,0.07351934714395492,0.3957668191096822
4,train,0.00011999999999999999,2.0012939261996054,2.0012939261996054,4.831787631531392,0.004646774882658516,0.0011534075173818745,4.827025504151652,0.0,0.9181470742895583,0.8472894696164722,0.9984179107118244,0.0,0.171875,8.775223830514703,0.06073687425699116,0.4004000409329233
4,val,0.00011999999999999999,1.8363781268479393,1.8363781268479393,4.781466007232666,0.0033013206127969945,0.0002489196714853532,4.7781397710081,0.0,0.8170065723481725,0.28100032518144513,0.9912715300184781,0.0,0.17187500024428132,8.71516393442623,0.07815401671362705,0.3957668191096822
5,train,0.00015,2.054317123633771,2.054317123633771,4.794579458630775,0.0036818882953644967,0.00048264201424057663,4.790849307351861,0.0,0.9732010798020796,0.8283583571102994,0.9982802114210838,0.0,0.171875,8.784090909090908,0.06603222050942666,0.3989590731534091
5,val,0.00015,1.9876789538586725,1.9876789538586725,4.740787052717365,0.0034365195601598407,0.00015405374345346735,4.737335126908099,0.0,0.9559736652452437,0.4051781316272548,0.9911874601098357,0.0,0.17187500024428132,8.71516393442623,0.08261458600153689,0.3957668191096822
