model,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
LogisticRegression,1,0.7777777777777778,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.8616600790513835,0.8787405196157627
LogisticRegression,2,0.7333333333333333,0.7777777777777778,0.6363636363636364,0.7,0.7529644268774703,0.7629764657764128
LogisticRegression,3,0.7111111111111111,0.7647058823529411,0.5909090909090909,0.6666666666666666,0.8201581027667985,0.7977423655035258
LogisticRegression,4,0.5777777777777777,0.56,0.6363636363636364,0.5957446808510638,0.7312252964426877,0.760886197185576
LogisticRegression,5,0.7272727272727273,0.7777777777777778,0.6363636363636364,0.7,0.8181818181818181,0.830422869498151
SVM_RBF,1,0.5555555555555556,0.7142857142857143,0.21739130434782608,0.3333333333333333,0.7351778656126482,0.7318641068447278
SVM_RBF,2,0.6666666666666666,0.8181818181818182,0.4090909090909091,0.5454545454545454,0.6620553359683795,0.745668395640406
SVM_RBF,3,0.5111111111111111,0.5,0.22727272727272727,0.3125,0.5928853754940712,0.6322812211654004
SVM_RBF,4,0.4666666666666667,0.4583333333333333,0.5,0.4782608695652174,0.4367588932806324,0.5200739245370426
SVM_RBF,5,0.6136363636363636,0.7272727272727273,0.36363636363636365,0.48484848484848486,0.3336776859504132,0.4320267324057989
XGBoost,1,0.8444444444444444,0.8636363636363636,0.8260869565217391,0.8444444444444444,0.9110671936758894,0.9377942853553635
XGBoost,2,0.8444444444444444,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.8656126482213439,0.8193733961578648
XGBoost,3,0.8,0.8421052631578947,0.7272727272727273,0.7804878048780488,0.8616600790513834,0.8790686467424433
XGBoost,4,0.8444444444444444,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.9071146245059288,0.9023623785663517
XGBoost,5,0.8636363636363636,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8822314049586777,0.831499416359042
