family,model,fine_tune_mode,support_per_class,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_roc_auc_ovr_mean,macro_roc_auc_ovr_std,n_episodes
jigsaw,jigsaw_multibin,frozen,2,0.3981308411214953,0.10077291772787902,0.38673903788846314,0.055073433126691454,0.33748842824449554,0.0803742719071176,0.3607339800294923,0.11607640629489524,0.42218963684889654,0.0660746620079206,0.38673903788846314,0.055073433126691454,0.5948370230221611,0.05589795189638527,10
jigsaw,jigsaw_multibin,frozen,5,0.46734693877551015,0.06432079811468198,0.41823242117359766,0.0711878308102956,0.41278963461792556,0.06820518399365683,0.4713072551046982,0.06270153609990688,0.4400481395253519,0.0815088163184712,0.41823242117359766,0.0711878308102956,0.6345780585002604,0.055565790998410414,10
jigsaw,jigsaw_multibin,frozen,10,0.5156626506024097,0.04977327995125996,0.44670462387853693,0.045038066105908936,0.44061135940397583,0.04365989155417365,0.5234903000587904,0.038429480341629546,0.4534423281627505,0.048651573546495526,0.44670462387853693,0.045038066105908936,0.6715991480644722,0.025217609104623652,10
jigsaw,jigsaw_multibin,frozen,15,0.5279411764705882,0.06737298842560263,0.48816980783444197,0.059336136281806444,0.4662674041339055,0.060781887896688,0.5566868879123805,0.06157978492382511,0.48304742551764673,0.05243379334289725,0.48816980783444197,0.059336136281806444,0.713843859090837,0.04071430215489563,10
jigsaw,jigsaw_multibin,frozen,20,0.5679245283018868,0.05220504646401795,0.500925925925926,0.06958750809076915,0.45810066213321665,0.04648425621760663,0.5976538386945525,0.04394643866686777,0.4679559121565324,0.04619629242328636,0.500925925925926,0.06958750809076915,0.7302533951470122,0.059484447995680687,10
jigsaw,jigsaw_multibin,frozen,24,0.5634146341463415,0.051994396602664986,0.5122023809523809,0.10691940985659075,0.41543174572671343,0.0430503789968996,0.6295957454125058,0.04294620043914492,0.44048152188817147,0.03620408048402027,0.5122023809523809,0.10691940985659075,0.7399583872010342,0.0736685167592647,10
jigsaw,jigsaw_multibin,unfreeze_last_1,2,0.41121495327102797,0.09520689588745249,0.39532779906343124,0.060176414852756294,0.35552401063539973,0.07764390825199755,0.3835945555390054,0.10375223754816044,0.42749823806844206,0.09039803073340714,0.39532779906343124,0.060176414852756294,0.5897105362544217,0.051041139671674875,10
jigsaw,jigsaw_multibin,unfreeze_last_1,5,0.4530612244897959,0.054676275639211215,0.4103390073978309,0.06882104724585991,0.40237895920818134,0.0648666541090543,0.4587717725064949,0.05767839182392402,0.43150847481337057,0.07900304719617258,0.4103390073978309,0.06882104724585991,0.6381025971490615,0.05377832643809412,10
jigsaw,jigsaw_multibin,unfreeze_last_1,10,0.5180722891566265,0.043625624462651474,0.44987922705314015,0.04019979349398016,0.44261101644090994,0.04000222187386359,0.5268818496401628,0.03794930242259475,0.45136694067490024,0.03847186890933333,0.44987922705314015,0.04019979349398016,0.6692551987778171,0.026074198574883144,10
jigsaw,jigsaw_multibin,unfreeze_last_1,15,0.5294117647058824,0.061225470572533316,0.4832779009608278,0.059230159397505304,0.46106602229960114,0.057071467331012676,0.555365010638862,0.05661647048514107,0.47782738750837617,0.05301619658690444,0.4832779009608278,0.059230159397505304,0.7130659223540053,0.039301356459534524,10
jigsaw,jigsaw_multibin,unfreeze_last_1,20,0.5773584905660377,0.07505123969900022,0.5232323232323233,0.08939149107903535,0.4749961090021559,0.06937140127317595,0.6065935950379491,0.06604022516885708,0.4810067523824947,0.05951768972277607,0.5232323232323233,0.08939149107903535,0.7266918845767407,0.06038360941457421,10
