row,r2_full,r2_metabolites_only,r2_envelope_only,n_metabolites_used,r2_unconstrained_upper_bound,metabolite_signal_frac
49,0.830063480919999,0.8260856964506162,0.1386345228518534,42,0.8353302643999609,0.3400866762334492
90,0.609834149353516,0.6012508235692768,0.23560545465937077,35,0.6304299467664736,0.4265750582944855
127,0.7713368379162077,0.770245483434434,0.07652188432831086,42,0.7750148824454537,0.25571786991858997
237,0.6260279004065064,0.6190829713848316,0.2432512900291638,41,0.6455148068632253,0.4567146366613967
299,0.48445452993974814,0.21329469283728297,0.45723056877352075,41,0.5514113830956026,0.13178273961697223
374,0.5392583793676589,0.225920247933312,0.5062395785784339,37,0.6019458705364968,0.17699237257359618
431,0.5199664479154311,0.5146706273100968,0.21087004241354246,40,0.5470886060375183,0.39333503527149
509,0.526367685478601,0.21902540803436588,0.49750904120717176,41,0.5823890607772269,0.19670943352919795
835,0.6166707999118197,0.6101829455027019,0.22105156777524992,41,0.6355349307896084,0.4589849217180667
884,0.3953774081627234,0.26105500498602185,0.2956195331840076,40,0.4423818425708709,0.2667773845791408
966,0.376294613493518,0.22755031783919177,0.3291736090847198,41,0.4682609411553055,0.23134604473471274
1293,0.42626993101584876,0.24384926814375574,0.34798610386473416,40,0.46971739981128646,0.31578015017885436
1761,0.2840777075601866,0.20481437976809247,0.2017387608349187,41,0.3241853823977292,0.5108441303966611
1769,0.6423973821566995,0.20965141529256348,0.6248109046285544,38,0.6947143755373744,0.23392433557090236
2527,0.2623056563687096,0.1891132368006856,0.20156267584666843,41,0.31796161200828343,0.41432426002785017
2630,0.455488618848942,0.24031837602947292,0.40870248887847427,39,0.5090805426819148,0.24246506320847563
2705,0.5278099724130998,0.2331680585149688,0.4811105518086277,34,0.5670401241407228,0.34412738331950277
2912,0.422162343219446,0.23983144208064022,0.3622845994668663,40,0.45753965520693995,0.31319276446379596
2976,0.28302671305945815,0.18813628862333742,0.21479219083085632,36,0.3164566323780915,0.41238354931929627
3647,0.4356315373809536,0.26070860318970235,0.36907318695880476,40,0.495681432636345,0.35972229083052876
3684,0.5123417070429255,0.21480116523423842,0.49364651161880724,37,0.5679582628842162,0.18836413823702663
3769,0.3004782975068866,0.18936070705744878,0.25237615170748606,40,0.3502208609325246,0.3577112694658601
3859,0.46228329830007175,0.24975814844276656,0.39389734201279913,36,0.5095468786646773,0.3459153570673515
4035,0.4609010763284369,0.24199974291180637,0.3950940772914413,31,0.5071192847564318,0.3494774510245986
