row_index,shape_corr_excl_water_edta
0,0.22944028677630768
1,0.23916334920890936
2,0.21908335535520768
3,0.0795006120897826
4,0.11339822293325777
5,0.19607405062882288
6,0.046539141433127394
7,0.10078833639610102
8,0.08159027651088593
9,0.14197723664092102
10,0.2309941169924083
11,0.06715487953799289
12,0.09922686480114584
13,0.1550189346385516
14,0.15501893463855101
15,0.13139811618946146
16,0.1265928372690314
17,0.12659283726903278
18,0.23152340483500838
19,0.13606827164630014
20,0.13606827164629964
21,0.10732595052353167
22,0.12548154191423033
23,0.08961533773329534
24,0.08938663557233374
25,0.2311039007762682
26,0.07513919560508417
27,0.09753983588931586
28,0.08098892707066016
29,0.05597167111974974
30,0.04496509556170867
31,0.0574030186498457
32,0.08664006711348954
33,0.20557182401933272
34,0.11714262313683173
35,0.11714262313683231
36,0.06693549343989393
37,0.10482622661589654
38,0.36968985708270513
39,0.14827887543638504
40,0.148278875436388
41,0.15963640565360285
42,0.13344331748599148
43,0.09875529232076957
44,0.09875529232076935
45,0.054142670257014976
46,0.045759605891083625
47,0.07138561581957298
48,0.082791408847185
49,0.12892299674026678
50,0.03231323374467172
51,0.09460808850791487
52,0.09460808850791469
53,0.1358540710210151
54,0.07256652896799029
55,0.12130259326598232
56,0.12130259326598401
57,0.02669565308601602
58,0.11082357373017336
59,0.33709848011628424
60,0.3745101302415608
61,0.3867696120294128
62,0.0723002368792378
63,0.07230023687923834
64,0.08238758304202208
65,0.08174448588671714
66,0.07165488236338437
67,0.056794955020537594
68,0.04526644817072566
69,0.05153281470515971
70,0.13127609128593085
71,0.054147918914263474
72,0.06963535761943361
73,0.07148939716495609
74,0.12144540075830532
75,0.05115881038197989
76,0.3559434218385129
77,0.2853650317221293
78,0.05908744658741301
79,0.04750086673605374
80,0.07608046204089831
81,0.1208056845368492
82,0.12080568453684884
83,0.044241976061419254
84,0.3808528816606717
85,0.048076358645457035
86,0.12399507668496393
87,0.12399507668496312
88,0.045863986542403416
89,0.12822200183175778
90,0.12822200183175764
91,0.3322165078549718
92,0.08831953021032839
93,0.07887944033951247
94,0.04885828041249354
95,0.08921616187178319
96,0.3659120303244069
97,0.044409981439062676
98,0.07561316723660147
99,0.1105839302641442
100,0.11058393026414241
101,0.08996133822214027
102,0.06605548451454464
103,0.3427990762494894
104,0.3684654253301595
105,0.3645005703800285
106,0.07205694176178158
107,0.041743533621532686
108,0.3629198868690344
109,0.04346023053578683
110,0.04346023053578753
111,0.02358615472841609
112,0.06271144359118326
113,0.030779229798088774
114,0.10630411268233426
115,0.10630411268233395
116,0.3697962477739739
117,0.07690569936179953
118,0.2991184457480402
119,0.10546806369680066
120,0.10546806369679994
121,0.08886023187473292
122,0.20609411510783632
123,0.1197476266653073
124,0.11974762666530762
125,0.3679671305894827
126,0.0853330729109286
127,0.07867664185869377
128,-0.18815292746397885
129,0.1022976508190066
130,0.09150878678011778
131,0.32318647743224427
132,0.13965049680936958
133,0.13965049680937028
134,0.027504297822953543
135,0.33930220858967264
136,0.07947398820187562
137,0.12213032773340272
138,0.12213032773340202
139,0.03886012407359938
140,0.37114058245240733
141,0.09642381553062085
142,0.09642381553061964
143,0.14561896955260661
144,0.14561896955260661
145,0.10064973102502651
146,0.03018167697992823
147,0.058681088709930974
148,0.0908666272269034
149,0.36034920049621383
150,0.1384001724382489
151,0.1384001724382486
152,0.05530576207136416
153,0.10954712123346497
154,0.10954712123346455
155,0.14832229398504262
156,0.33175498797427255
157,0.07212339726431924
158,0.07573567884763263
159,0.07830481163881911
160,0.389569650520612
161,0.11095139602331161
162,0.07306408684296103
163,0.07306408684296264
164,0.042326964994344275
165,0.09072339933341135
166,0.16285504765093634
167,0.1628550476509357
168,0.07555866028909076
169,0.09002769169815353
170,0.02573762442302377
171,0.07858125051582035
172,0.21730130711197987
173,0.050029379503330584
174,0.04660300991532821
175,0.10471031234344347
176,0.10471031234344169
177,0.07813466100409104
178,0.39253375373464566
179,0.1425191935595718
180,0.14251919355957005
181,0.11242739405607219
182,0.11242739405607466
183,0.36401768987361616
184,0.07099973282164936
185,0.052647333921299666
186,0.0739603130605461
187,0.0726715243362114
188,0.09859131693963427
189,0.09859131693963231
190,0.02301949257792328
191,0.12347416234160075
192,0.1619536133476883
193,0.16496111295469587
194,0.10776834679138642
195,0.36334086116096265
196,0.06244797993965855
197,0.12602559742836655
198,0.12602559742836558
199,0.11802399081727019
200,0.10584563499239595
201,0.04898519572455491
202,0.04456966485801656
203,0.4042184251946898
204,0.3282630891870914
205,0.07474740655748165
206,0.06316697354894839
207,0.09539180743812284
208,0.0953918074381222
209,0.3447562824209179
210,0.05483041174424151
211,0.09446198227482129
212,0.09446198227482007
213,0.030165863400112118
214,0.07307944390297497
215,0.09975931982109375
216,0.37107116162273823
217,0.10251169564218082
218,0.07925759784758826
219,0.16791628615834783
220,0.09883951890418613
221,0.09883951890418602
222,0.05705118440182874
223,0.07554719431697753
224,0.11881850529562685
225,0.07757121827393976
226,0.3382986978649537
227,0.3539952442894071
228,0.13580149053621182
229,0.1358014905362117
230,0.035411710733768295
231,0.056764505796209556
232,0.2959281385988215
233,0.06569847877118504
234,0.06569847877118423
235,0.044576466089068206
236,0.14454428773412542
237,0.1445442877341233
238,0.326401477739773
239,0.06670715532155715
240,0.04201612221906482
241,0.07628629142227247
242,0.13464750350706886
243,0.1560639073634095
244,0.08419009579540272
245,0.0841900957954026
246,0.34152825001885767
247,0.04343496979367531
248,0.08698811244779041
249,0.10666535739175913
250,0.10666535739176213
251,0.08700832966950689
252,0.08700832966950596
253,0.14148996145778137
254,0.14148996145778142
255,0.1515453896626598
256,0.08326067525212968
257,0.39410131407867527
258,0.08036311376357506
259,0.11169277690857443
260,0.11169277690857299
261,0.1242166585409002
262,0.12421665854089933
263,0.09280114845622467
264,0.09280114845622542
265,0.3553658820019526
266,0.11858636886298914
267,0.11858636886299039
268,0.06880783922537462
269,0.34499176340240567
270,0.07503102891147145
