row_index,n_missing_peaks,mahalanobis_dist,isolation_forest_score,lof_score,vote_count,shape_correlation_to_median
1,31,5746.708480436143,0.03410377402942011,2.6103115281576725,3,0.06058379074271922
8835,9,2984.5475035091054,0.05549400284242101,2.0875313676145097,3,0.11841917998918217
8608,23,4688.349934108522,0.03577765640122066,1.899774408375725,3,0.1271667395327687
9493,42,4265.416618630211,-0.1276595838633664,1.9552041165613367,2,0.06056704741610584
9495,42,4059.5789661155623,-0.1366900304911286,2.02087540580109,2,0.0690116372976853
1732,22,3062.6133087384865,0.03741858114809016,1.481138783865272,2,0.14325302075304136
5487,4,19.613551345880325,0.058175994464593206,1.9433934876047942,2,0.5954295764942665
297,33,6877.582266168499,-0.08741120098941407,2.701198747027328,2,0.038668505336168855
9512,36,1323.2206040000806,0.027107865314389246,1.7819046031244195,2,0.15746335625815722
1488,4,37.067113358332506,0.04084318161769962,2.11649847114063,2,0.7002192879676256
6510,7,169.70560174900996,0.11365256044093508,2.967076620635796,2,0.7428195508137873
9540,44,3953.684237635923,-0.14306184940447364,2.4780666060957808,2,0.08705001183929431
7228,3,18.7019997222005,0.03050556287364814,2.3501808647505156,2,0.7712679021089587
1249,23,2768.2887905091957,-0.07081214752091308,2.017765753702851,2,0.14187040927558542
8872,38,520.1212465634109,0.02867579699196099,3.3813886600937395,2,0.04694504643591954
9562,45,3569.8256827852892,-0.14215788570786808,2.9670956805767212,2,0.0656297941230307
8785,22,2823.8015973603524,0.026792568222228197,1.4061467843613458,2,0.13498853854670792
1077,21,2849.6925302620975,0.032917993435038984,1.4158259036269303,2,0.13934763539320527
1048,8,164.18661822161596,0.14362097431667487,3.8804652417186167,2,0.7309627972830831
7187,19,1466.6399319937318,-0.037056147549284546,2.7640785369444254,2,0.13470905371684624
8998,20,704.259830265304,0.044840062802644964,1.8521423360324927,2,0.1406169607795629
3394,21,3018.0040629984696,0.03026903931216096,1.3775266795184335,2,0.14143141076560722
9390,39,3994.1617470168203,-0.0501492144582224,4.359416139831005,2,0.04986122524341915
9395,3,755.2453537252344,0.07589129802676253,2.348981613772267,2,0.2528323595837911
9370,7,2828.4323692328444,0.03573156271472244,1.3057238176422612,2,0.15259356368584057
9406,4,768.6130584612716,0.08793615639385455,2.321391690963801,2,0.2542372948367321
2997,23,2848.5529211351245,-0.06800136162304626,1.9129074128322863,2,0.13096940174556132
9341,8,1034.333939731759,0.0481267286831506,1.8540148579658773,2,0.13397909090369858
122,33,2495.6483651925187,-0.0524390739795243,2.228149711719792,2,0.04585948385732503
242,36,5555.204675052132,-0.11585155851776047,2.095101850605233,2,0.03166801740423256
9221,44,1502.3707102224873,-0.1135904021156825,5.380561723025217,2,0.39359166662113
315,22,1398.9888812455445,-0.05197210126796714,2.075066494165351,2,0.12414323367535107
9297,9,897.7335214777146,0.0426925870599103,2.174643237338948,2,0.09206315653427485
9458,3,891.9654992538958,0.11163680490131322,2.7686725405718384,2,0.26377962098415597
9464,4,941.4496447735858,0.1254266898603853,2.9508695814959838,2,0.26407413774930993
9465,42,3989.36198331442,-0.13402825879774755,2.134018319965636,2,0.06607516624398618
166,34,471.4443086338143,0.00015113733123450768,2.0466920143155853,2,0.04537792825567024
9472,3,894.4330215978385,0.115135063635599,2.9153596089869547,2,0.26392169577058816
167,34,471.4443086338167,0.00015113733123450768,2.0466920143156333,2,0.045377928255670025
1850,44,1502.8839623692636,-0.15215905393591156,5.556618097221188,2,0.25259405242468647
9433,4,752.511720928123,0.0858876841768691,2.317022906571789,2,0.2560571074681996
25,33,4557.504981825845,-0.003263204602054648,1.954822737301485,2,0.05864007720387892
9,37,3981.001524977469,-0.10021055464937778,1.9862980600220947,2,0.034108740702185225
7859,27,633.1872268244579,0.02678142945841766,2.120456217603264,2,0.14589141930692598
760,24,1441.3218345295404,0.02181129267692683,1.5806742423008442,2,0.1385111394879812
9626,28,575.7344257027991,0.04476396830053331,1.8768695543902338,2,0.14631291905621915
18,33,1636.2741740117544,-0.013670600949733047,2.007654008298796,2,0.0585384731378063
814,44,1493.8346248105468,-0.10973832019585095,5.309946377878857,2,0.27755506530523116
759,26,1376.1188054569488,0.02770668530940168,1.4213360879312187,2,0.1374923344309104
7759,10,2994.4184530582743,0.0335347402497751,1.2674004382801827,2,0.12908320564720768
243,36,4762.541702764919,-0.09375779648406918,2.480852365723357,2,0.04245976855547506
473,35,2856.113005634047,-0.10305393931354034,2.229086952681734,2,0.03499552834177379
2,31,3067.4179445940977,-0.02005234133928613,2.0007482325517745,2,0.055736963036992694
8536,29,2871.9870410395088,-0.17046571548381767,2.071490102268646,2,0.07515497875841022
5,31,2639.7025912181534,-0.0304207293198418,2.1087835148432346,2,0.04606541849341587
650,20,3805.950416442399,0.0455681884415815,1.8342150598235247,2,0.13221199990311253
7364,19,703.3359015340249,0.03006732080829566,2.3238454564426756,2,0.13966940756712226
